Channel,SNR_dB,Variant,Trials_Valid,SyncFailRate,FER_Overall,FER_Valid,BER_Valid
2,-11,IAE,30,0.0000,0.2667,0.2667,0.018611
2,-11,VB-FQ,30,0.0000,0.1000,0.1000,0.019444
2,-11,E-FQ,30,0.0000,0.1000,0.1000,0.017500
3,-11,IAE,30,0.0000,0.0333,0.0333,0.000556
3,-11,VB-FQ,30,0.0000,0.0333,0.0333,0.000278
3,-11,E-FQ,30,0.0000,0.0333,0.0333,0.000278
1,-10,IAE,30,0.0000,0.0000,0.0000,0.000000
1,-10,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
1,-10,E-FQ,30,0.0000,0.0000,0.0000,0.000000
2,-10,IAE,30,0.0000,0.0333,0.0333,0.000278
2,-10,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
2,-10,E-FQ,30,0.0000,0.0000,0.0000,0.000000
3,-10,IAE,30,0.0000,0.0000,0.0000,0.000000
3,-10,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
3,-10,E-FQ,30,0.0000,0.0000,0.0000,0.000000
1,-9,IAE,30,0.0000,0.0000,0.0000,0.000000
1,-9,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
1,-9,E-FQ,30,0.0000,0.0000,0.0000,0.000000
2,-9,IAE,30,0.0000,0.0333,0.0333,0.000556
2,-9,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
2,-9,E-FQ,30,0.0000,0.0000,0.0000,0.000000
3,-9,IAE,30,0.0000,0.0000,0.0000,0.000000
3,-9,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
3,-9,E-FQ,30,0.0000,0.0000,0.0000,0.000000
1,-8,IAE,30,0.0000,0.0000,0.0000,0.000000
1,-8,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
1,-8,E-FQ,30,0.0000,0.0000,0.0000,0.000000
2,-8,IAE,30,0.0000,0.0000,0.0000,0.000000
2,-8,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
2,-8,E-FQ,30,0.0000,0.0000,0.0000,0.000000
3,-8,IAE,30,0.0000,0.0000,0.0000,0.000000
3,-8,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
3,-8,E-FQ,30,0.0000,0.0000,0.0000,0.000000
1,-7,IAE,30,0.0000,0.0000,0.0000,0.000000
1,-7,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
1,-7,E-FQ,30,0.0000,0.0000,0.0000,0.000000
2,-7,IAE,30,0.0000,0.0000,0.0000,0.000000
2,-7,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
2,-7,E-FQ,30,0.0000,0.0000,0.0000,0.000000
3,-7,IAE,30,0.0000,0.0000,0.0000,0.000000
3,-7,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
3,-7,E-FQ,30,0.0000,0.0000,0.0000,0.000000
1,-6,IAE,30,0.0000,0.0000,0.0000,0.000000
1,-6,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
1,-6,E-FQ,30,0.0000,0.0000,0.0000,0.000000
2,-6,IAE,30,0.0000,0.0000,0.0000,0.000000
2,-6,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
2,-6,E-FQ,30,0.0000,0.0000,0.0000,0.000000
3,-6,IAE,30,0.0000,0.0000,0.0000,0.000000
3,-6,VB-FQ,30,0.0000,0.0000,0.0000,0.000000
3,-6,E-FQ,30,0.0000,0.0000,0.0000,0.000000
