Scenario,Variant,Phase,Metric,Mean,Median,P10,P90
S1_Warp,E-CAL,NORMAL,rho_raw,0.855325,0.857825,0.812347,0.895371
S1_Warp,E-CAL,NORMAL,rho_relative,0.962185,0.977103,0.897914,1.000000
S1_Warp,E-CAL,NORMAL,m_reliability,0.960112,0.976455,0.897087,0.996684
S1_Warp,E-CAL,NORMAL,Lambda,1.055880,1.040771,1.000000,1.115556
S1_Warp,E-CAL,NORMAL,R_vb,0.156104,0.152326,0.127467,0.192613
S1_Warp,E-CAL,NORMAL,R_eff,0.165065,0.160483,0.131476,0.205211
S1_Warp,E-CAL,NORMAL,R_eff_R_vb,1.055880,1.040771,1.000000,1.115556
S1_Warp,E-CAL,NORMAL,K_delay,0.901766,0.907949,0.855975,0.937086
S1_Warp,E-CAL,NORMAL,Q11,1.147504,1.072351,0.665268,1.740620
S1_Warp,E-CAL,NORMAL,Q22,0.064740,0.043322,0.018660,0.143198
S1_Warp,E-CAL,NORMAL,tracking_error,-0.416162,-0.421208,-1.153998,0.325993
S2_Fade,C,NORMAL,m_reliability,0.825850,0.844699,0.764922,0.866516
S2_Fade,C,NORMAL,Lambda,1.000000,1.000000,1.000000,1.000000
S2_Fade,C,NORMAL,R_vb,0.343392,0.303494,0.112223,0.623293
S2_Fade,C,NORMAL,R_eff,0.343392,0.303494,0.112223,0.623293
S2_Fade,C,NORMAL,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S2_Fade,C,NORMAL,K_delay,0.658589,0.659249,0.488578,0.825814
S2_Fade,C,NORMAL,Q11,0.337943,0.364430,0.104664,0.527652
S2_Fade,C,NORMAL,Q22,0.002045,0.001956,0.001519,0.002788
S2_Fade,C,NORMAL,tracking_error,0.198230,0.193229,-0.306714,0.713846
S2_Fade,C,PRE,m_reliability,0.850979,0.853635,0.833416,0.866538
S2_Fade,C,PRE,Lambda,1.000000,1.000000,1.000000,1.000000
S2_Fade,C,PRE,R_vb,0.397099,0.377723,0.100000,0.587877
S2_Fade,C,PRE,R_eff,0.397099,0.377723,0.100000,0.587877
S2_Fade,C,PRE,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S2_Fade,C,PRE,K_delay,0.560004,0.558041,0.419526,0.703224
S2_Fade,C,PRE,Q11,0.166842,0.169871,0.050000,0.267759
S2_Fade,C,PRE,Q22,0.002542,0.002527,0.002000,0.003109
