Channel,Variant,Trials_Valid,SyncFailRate,FER_Overall,FER_Valid,BER_Valid,RMSE_Overall,RMSE_Pre,RMSE_Fade,RMSE_Post,Mean_K_Fade,Mean_Reff_Fade,Mean_Reff_Rvb_Fade,Median_Q11_Fade,Median_Q22_Fade,Median_Ppred11_Fade,Median_Ppred22_Fade
Profile P1: Tx15m / 20km / Rx34m,IAE,200,0.0000,0.0000,0.0000,0.000000,0.5365,0.5052,0.5401,0.5569,0.625796,0.374820,1.000000,0.296416,0.002065,0.573279,0.028422
Profile P1: Tx15m / 20km / Rx34m,VB-FQ,200,0.0000,0.0000,0.0000,0.000000,0.4870,0.5003,0.4929,0.4759,0.420125,0.341233,1.000000,0.050000,0.002000,0.247133,0.016424
Profile P1: Tx15m / 20km / Rx34m,E-FQ,200,0.0000,0.0000,0.0000,0.000000,0.4730,0.4951,0.4501,0.4619,0.348523,0.703283,1.760529,0.050000,0.002000,0.350572,0.017579
Profile P2: Tx15m / 20km / Rx3467m,IAE,200,0.0000,0.0000,0.0000,0.000000,0.4016,0.3560,0.4297,0.4240,0.592465,0.469350,1.000000,0.278167,0.002049,0.590378,0.027682
Profile P2: Tx15m / 20km / Rx3467m,VB-FQ,200,0.0000,0.0000,0.0000,0.000000,0.3214,0.3282,0.3429,0.3014,0.416385,0.348964,1.000000,0.050000,0.002000,0.247637,0.016411
Profile P2: Tx15m / 20km / Rx3467m,E-FQ,200,0.0000,0.0000,0.0000,0.000000,0.3120,0.3238,0.3051,0.2967,0.359955,0.635294,1.564260,0.050000,0.002000,0.332805,0.017378
Profile P3: Tx100m / 45km / Rx110m,IAE,200,0.0000,0.0000,0.0000,0.000000,0.3701,0.3192,0.3801,0.4000,0.580604,0.506082,1.000000,0.304062,0.002069,0.642217,0.028933
Profile P3: Tx100m / 45km / Rx110m,VB-FQ,200,0.0000,0.0000,0.0000,0.000000,0.2756,0.2843,0.2862,0.2629,0.400881,0.401056,1.000000,0.050000,0.002000,0.267753,0.016689
Profile P3: Tx100m / 45km / Rx110m,E-FQ,200,0.0000,0.0000,0.0000,0.000000,0.2629,0.2787,0.2465,0.2540,0.350133,0.708167,1.574329,0.050000,0.002000,0.351587,0.017594
