Scenario,Variant,Phase,Metric,Mean,Median,P10,P90
S1_Warp,E-CAL,NORMAL,Q22,0.065834,0.046919,0.017167,0.145538
S1_Warp,E-CAL,NORMAL,tracking_error,-0.417113,-0.415494,-1.174878,0.335027
S2_Fade,C,NORMAL,m_reliability,0.825886,0.844596,0.769869,0.866845
S2_Fade,C,NORMAL,Lambda,1.000000,1.000000,1.000000,1.000000
S2_Fade,C,NORMAL,R_vb,0.338499,0.305467,0.113629,0.597594
S2_Fade,C,NORMAL,R_eff,0.338499,0.305467,0.113629,0.597594
S2_Fade,C,NORMAL,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S2_Fade,C,NORMAL,K_delay,0.659205,0.658927,0.492765,0.823952
S2_Fade,C,NORMAL,Q11,0.339516,0.361208,0.104152,0.532146
S2_Fade,C,NORMAL,Q22,0.002059,0.001984,0.001523,0.002817
S2_Fade,C,NORMAL,tracking_error,0.223406,0.222220,-0.269962,0.730574
S2_Fade,C,PRE,m_reliability,0.851049,0.852104,0.833792,0.867142
S2_Fade,C,PRE,Lambda,1.000000,1.000000,1.000000,1.000000
S2_Fade,C,PRE,R_vb,0.377802,0.362300,0.100000,0.553850
S2_Fade,C,PRE,R_eff,0.377802,0.362300,0.100000,0.553850
S2_Fade,C,PRE,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S2_Fade,C,PRE,K_delay,0.564830,0.560080,0.434091,0.705388
S2_Fade,C,PRE,Q11,0.166075,0.170179,0.050000,0.266116
S2_Fade,C,PRE,Q22,0.002552,0.002530,0.002000,0.003077
S2_Fade,C,PRE,tracking_error,0.192686,0.183652,-0.225510,0.605842
S2_Fade,C,FADE,m_reliability,0.681855,0.708879,0.509671,0.813915
S2_Fade,C,FADE,Lambda,1.000000,1.000000,1.000000,1.000000
S2_Fade,C,FADE,R_vb,0.377130,0.348649,0.168873,0.613769
S2_Fade,C,FADE,R_eff,0.377130,0.348649,0.168873,0.613769
S2_Fade,C,FADE,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S2_Fade,C,FADE,K_delay,0.644936,0.637250,0.552188,0.745648
S2_Fade,C,FADE,Q11,0.336945,0.333679,0.291602,0.389344
S2_Fade,C,FADE,Q22,0.002073,0.002082,0.001871,0.002260
S2_Fade,C,FADE,tracking_error,0.213009,0.237259,-0.309918,0.733728
S2_Fade,C,POST,m_reliability,0.851061,0.853075,0.833852,0.867514
S2_Fade,C,POST,Lambda,1.000000,1.000000,1.000000,1.000000
S2_Fade,C,POST,R_vb,0.296017,0.228902,0.110226,0.646465
S2_Fade,C,POST,R_eff,0.296017,0.228902,0.110226,0.646465
