Scenario,Variant,Phase,Metric,Mean,Median,P10,P90
S1_Warp,C,NORMAL,coherent_fraction,0.052616,0.023210,0.000716,0.144351
S1_Warp,C,NORMAL,tracking_error,-0.408305,-0.414959,-0.868893,0.053752
S1_Warp,E,NORMAL,R_vb,0.874763,0.687101,0.410211,1.680108
S1_Warp,E,NORMAL,R_eff,1.221433,0.908825,0.541038,2.274567
S1_Warp,E,NORMAL,R_eff_R_vb,1.359639,1.316815,1.254216,1.388901
S1_Warp,E,NORMAL,K_delay,0.336488,0.314908,0.260133,0.442400
S1_Warp,E,NORMAL,Q11,0.089303,0.052973,0.025333,0.218649
S1_Warp,E,NORMAL,Q22,0.005258,0.000834,0.000138,0.019233
S1_Warp,E,NORMAL,abs_innovation,0.635379,0.545958,0.105959,1.218834
S1_Warp,E,NORMAL,NIS,0.363214,0.188864,0.007395,0.946482
S1_Warp,E,NORMAL,directional_consistency,0.318042,0.256951,0.042729,0.693421
S1_Warp,E,NORMAL,coherent_fraction,0.111075,0.048908,0.001336,0.313122
S1_Warp,E,NORMAL,tracking_error,-2.295737,-2.318674,-2.594678,-2.018874
S1_Warp,EQ0,NORMAL,R_vb,0.158197,0.157538,0.125851,0.189414
S1_Warp,EQ0,NORMAL,R_eff,0.167344,0.165350,0.128887,0.204196
S1_Warp,EQ0,NORMAL,R_eff_R_vb,1.056436,1.038710,1.000000,1.121236
S1_Warp,EQ0,NORMAL,K_delay,0.902302,0.912091,0.849149,0.938970
S1_Warp,EQ0,NORMAL,Q11,1.201361,1.118374,0.643113,1.890848
S1_Warp,EQ0,NORMAL,Q22,0.065834,0.046919,0.017167,0.145538
S1_Warp,EQ0,NORMAL,abs_innovation,1.042174,0.990479,0.191857,2.007917
S1_Warp,EQ0,NORMAL,NIS,0.823153,0.552481,0.021907,2.055344
S1_Warp,EQ0,NORMAL,directional_consistency,0.184089,0.157814,0.031782,0.369732
S1_Warp,EQ0,NORMAL,coherent_fraction,0.039379,0.019274,0.000803,0.099303
S1_Warp,EQ0,NORMAL,tracking_error,-0.417113,-0.415494,-1.174878,0.335027
S1_Warp,EQ1,NORMAL,R_vb,0.307551,0.312384,0.232227,0.384092
S1_Warp,EQ1,NORMAL,R_eff,0.320565,0.325335,0.241502,0.399557
S1_Warp,EQ1,NORMAL,R_eff_R_vb,1.041686,1.042986,1.000000,1.083763
S1_Warp,EQ1,NORMAL,K_delay,0.443581,0.426634,0.399499,0.467888
S1_Warp,EQ1,NORMAL,Q11,0.050000,0.050000,0.050000,0.050000
S1_Warp,EQ1,NORMAL,Q22,0.002000,0.002000,0.002000,0.002000
S1_Warp,EQ1,NORMAL,abs_innovation,0.647843,0.573952,0.108664,1.265687
S1_Warp,EQ1,NORMAL,NIS,1.031448,0.579729,0.020963,2.719612
S1_Warp,EQ1,NORMAL,directional_consistency,0.252191,0.209252,0.037554,0.525895
S1_Warp,EQ1,NORMAL,coherent_fraction,0.069822,0.031898,0.001050,0.183441
S1_Warp,EQ1,NORMAL,tracking_error,-0.419295,-0.430843,-0.727111,-0.095908
S1_Warp,EQ2,NORMAL,R_vb,0.321798,0.335519,0.195231,0.430416
S1_Warp,EQ2,NORMAL,R_eff,0.341358,0.349208,0.201066,0.464498
S1_Warp,EQ2,NORMAL,R_eff_R_vb,1.057412,1.019088,1.000000,1.184960
S1_Warp,EQ2,NORMAL,K_delay,0.811450,0.819647,0.741745,0.866477
S1_Warp,EQ2,NORMAL,Q11,0.050000,0.050000,0.050000,0.050000
S1_Warp,EQ2,NORMAL,Q22,0.585580,0.500466,0.226284,1.045580
S1_Warp,EQ2,NORMAL,abs_innovation,1.245323,1.225584,0.262651,2.237721
S1_Warp,EQ2,NORMAL,NIS,1.167396,0.860715,0.041342,2.723242
S1_Warp,EQ2,NORMAL,directional_consistency,0.165686,0.146664,0.029833,0.322477
S1_Warp,EQ2,NORMAL,coherent_fraction,0.031471,0.017737,0.000702,0.080166
S1_Warp,EQ2,NORMAL,tracking_error,-0.429976,-0.432586,-1.030076,0.167260
S1_Warp,EQ3,NORMAL,R_vb,0.145534,0.142623,0.129533,0.168205
S1_Warp,EQ3,NORMAL,R_eff,0.148308,0.144328,0.130179,0.173769
S1_Warp,EQ3,NORMAL,R_eff_R_vb,1.017982,1.002640,1.000000,1.054295
S1_Warp,EQ3,NORMAL,K_delay,0.872882,0.883965,0.807463,0.919599
S1_Warp,EQ3,NORMAL,Q11,0.928849,0.902503,0.443484,1.411193
S1_Warp,EQ3,NORMAL,Q22,0.002000,0.002000,0.002000,0.002000
S1_Warp,EQ3,NORMAL,abs_innovation,0.942086,0.872744,0.184189,1.773215
S1_Warp,EQ3,NORMAL,NIS,0.974608,0.618693,0.030075,2.484185
S1_Warp,EQ3,NORMAL,directional_consistency,0.196943,0.161751,0.032813,0.405425
S1_Warp,EQ3,NORMAL,coherent_fraction,0.044986,0.020599,0.000834,0.121505
S1_Warp,EQ3,NORMAL,tracking_error,-0.418861,-0.401835,-1.142823,0.266537
S2_Fade,C,NORMAL,R_vb,0.338499,0.305467,0.113629,0.597594
S2_Fade,C,NORMAL,R_eff,0.338499,0.305467,0.113629,0.597594
S2_Fade,C,NORMAL,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S2_Fade,C,NORMAL,K_delay,0.659205,0.658927,0.492765,0.823952
S2_Fade,C,NORMAL,Q11,0.339516,0.361208,0.104152,0.532146
S2_Fade,C,NORMAL,Q22,0.002059,0.001984,0.001523,0.002817
S2_Fade,C,NORMAL,abs_innovation,0.785468,0.597836,0.325514,1.434620
S2_Fade,C,NORMAL,NIS,0.963622,0.400731,0.108455,2.408686
S2_Fade,C,NORMAL,directional_consistency,0.213223,0.210549,0.075567,0.330511
S2_Fade,C,NORMAL,coherent_fraction,0.045942,0.035526,0.004242,0.083436
S2_Fade,C,NORMAL,tracking_error,0.223406,0.222220,-0.269962,0.730574
S2_Fade,C,PRE,R_vb,0.377802,0.362300,0.100000,0.553850
S2_Fade,C,PRE,R_eff,0.377802,0.362300,0.100000,0.553850
S2_Fade,C,PRE,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S2_Fade,C,PRE,K_delay,0.564830,0.560080,0.434091,0.705388
S2_Fade,C,PRE,Q11,0.166075,0.170179,0.050000,0.266116
S2_Fade,C,PRE,Q22,0.002552,0.002530,0.002000,0.003077
S2_Fade,C,PRE,abs_innovation,0.774044,0.589115,0.331015,1.424784
S2_Fade,C,PRE,NIS,1.096979,0.415790,0.125131,2.534157
S2_Fade,C,PRE,directional_consistency,0.230269,0.220175,0.113285,0.332808
S2_Fade,C,PRE,coherent_fraction,0.054818,0.039473,0.009304,0.084391
S2_Fade,C,PRE,tracking_error,0.192686,0.183652,-0.225510,0.605842
S2_Fade,C,FADE,R_vb,0.377130,0.348649,0.168873,0.613769
S2_Fade,C,FADE,R_eff,0.377130,0.348649,0.168873,0.613769
S2_Fade,C,FADE,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S2_Fade,C,FADE,K_delay,0.644936,0.637250,0.552188,0.745648
S2_Fade,C,FADE,Q11,0.336945,0.333679,0.291602,0.389344
S2_Fade,C,FADE,Q22,0.002073,0.002082,0.001871,0.002260
S2_Fade,C,FADE,abs_innovation,0.784547,0.692769,0.193062,1.480149
S2_Fade,C,FADE,NIS,0.905224,0.483869,0.036935,2.297333
S2_Fade,C,FADE,directional_consistency,0.203770,0.179695,0.044394,0.360158
S2_Fade,C,FADE,coherent_fraction,0.046839,0.025101,0.001413,0.098445
S2_Fade,C,FADE,tracking_error,0.213009,0.237259,-0.309918,0.733728
S2_Fade,C,POST,R_vb,0.296017,0.228902,0.110226,0.646465
S2_Fade,C,POST,R_eff,0.296017,0.228902,0.110226,0.646465
S2_Fade,C,POST,R_eff_R_vb,1.000000,1.000000,1.000000,1.000000
S2_Fade,C,POST,K_delay,0.736856,0.747727,0.596889,0.849299
S2_Fade,C,POST,Q11,0.474880,0.475099,0.386746,0.562153
S2_Fade,C,POST,Q22,0.001672,0.001664,0.001449,0.001910
S2_Fade,C,POST,abs_innovation,0.794618,0.589962,0.341924,1.435851
S2_Fade,C,POST,NIS,0.878278,0.373824,0.111844,2.329201
S2_Fade,C,POST,directional_consistency,0.204107,0.209984,0.068721,0.320467
