Profile,Method,Median_RMSE,Mean_RMSE,Median_Fade_RMSE,BER,FER
P1,IAE,0.535668061286491,0.535242819980453,0.550517977816815,0,0
P1,VB-FQ,0.48626833884703,0.486548637832309,0.500329935845274,0,0
P1,R-FQ,0.635783260495988,0.636029281357014,0.641652903554253,0,0
P1,E-FQ,0.474300940384881,0.474961770442882,0.457426260763365,0,0
P2,IAE,0.401993801612935,0.402804087348797,0.427497190683609,0,0
P2,VB-FQ,0.323216006793732,0.323946941868719,0.352494683032013,0,0
P2,R-FQ,0.489277160934326,0.489740301634808,0.515823286313878,0,0
P2,E-FQ,0.313042205039797,0.314151570707613,0.312652822908449,0,0
P3,IAE,0.373218075979506,0.372784096292589,0.382697176773322,0,0
P3,VB-FQ,0.274130887010027,0.274365474419768,0.288933263341102,0,0
P3,R-FQ,0.445701095231344,0.446545029287295,0.450486626884101,0,0
P3,E-FQ,0.262592818857492,0.26254792923226,0.248858148327052,0,0
