Profile,Comparison,Metric,N_Pairs,Median_Difference,CI95_Lower,CI95_Upper,Median_Improvement_Percent,Comparator_Absolute_RMSE,EFQ_Absolute_RMSE
P1,E-FQ - VB-FQ,Overall_RMSE,3000,-0.0114270215825932,-0.0125832217769229,-0.0103421959354739,2.36510046493963,0.48626833884703,0.474300940384881
P1,E-FQ - VB-FQ,Fade_RMSE,3000,-0.0412201841052345,-0.044378449465241,-0.0382646537881773,8.09782028597044,0.500329935845274,0.457426260763365
P1,E-FQ - R-FQ,Overall_RMSE,3000,-0.160971633881269,-0.162186449483062,-0.159362906075,25.3041844569429,0.635783260495988,0.474300940384881
P1,E-FQ - R-FQ,Fade_RMSE,3000,-0.183076217455321,-0.187419937416556,-0.179313906654796,28.5480545389639,0.641652903554253,0.457426260763365
P1,E-FQ - IAE,Overall_RMSE,3000,-0.0599455890995723,-0.061444745182967,-0.0584622474950915,11.2254463994659,0.535668061286491,0.474300940384881
P1,E-FQ - IAE,Fade_RMSE,3000,-0.0927127481605208,-0.0965801245153313,-0.0894861713692504,16.894954212701,0.550517977816815,0.457426260763365
P2,E-FQ - VB-FQ,Overall_RMSE,3000,-0.00954883821416316,-0.0106378332102485,-0.00860924038964783,2.96629099572492,0.323216006793732,0.313042205039797
P2,E-FQ - VB-FQ,Fade_RMSE,3000,-0.0371538905260513,-0.0406924838435187,-0.0344721818780559,10.7084006955331,0.352494683032013,0.312652822908449
P2,E-FQ - R-FQ,Overall_RMSE,3000,-0.175632061060773,-0.17684948838662,-0.174551832517702,35.9773061114569,0.489277160934326,0.313042205039797
P2,E-FQ - R-FQ,Fade_RMSE,3000,-0.198172536518244,-0.201073720217386,-0.194756596018654,38.8321704563862,0.515823286313878,0.312652822908449
P2,E-FQ - IAE,Overall_RMSE,3000,-0.0893713410587425,-0.0904612704984058,-0.0879982365822015,22.2508723418506,0.401993801612935,0.313042205039797
P2,E-FQ - IAE,Fade_RMSE,3000,-0.113676353025676,-0.11661451921895,-0.110619292595967,26.4746279422806,0.427497190683609,0.312652822908449
P3,E-FQ - VB-FQ,Overall_RMSE,3000,-0.0115930094810185,-0.0122755101918963,-0.0111038157914278,4.23749814192206,0.274130887010027,0.262592818857492
P3,E-FQ - VB-FQ,Fade_RMSE,3000,-0.0390999775080438,-0.0412989130782395,-0.0373622460031641,13.7311247440597,0.288933263341102,0.248858148327052
P3,E-FQ - R-FQ,Overall_RMSE,3000,-0.18391694248891,-0.185024378948763,-0.182502786540678,41.1804456046701,0.445701095231344,0.262592818857492
P3,E-FQ - R-FQ,Fade_RMSE,3000,-0.200850899864516,-0.203697499620674,-0.197927282450109,44.5284643820387,0.450486626884101,0.248858148327052
P3,E-FQ - IAE,Overall_RMSE,3000,-0.110330175509492,-0.111242824345311,-0.109326909551177,29.6152754682125,0.373218075979506,0.262592818857492
P3,E-FQ - IAE,Fade_RMSE,3000,-0.134344744190075,-0.13606861279588,-0.131905897394087,34.8229150831841,0.382697176773322,0.248858148327052
Pooled,E-FQ - VB-FQ,Overall_RMSE,9000,-0.011121645553757,-0.0114795003140595,-0.0105508440791882,3.21457818433985,0.323240251791584,0.313042205039797
Pooled,E-FQ - VB-FQ,Fade_RMSE,9000,-0.0391921903414531,-0.0408107498713769,-0.0377170768237396,10.9329199018143,0.361150264129927,0.319731952551525
Pooled,E-FQ - R-FQ,Overall_RMSE,9000,-0.174532593508541,-0.17510685406284,-0.17381218008056,35.1555952960754,0.491217621744892,0.313042205039797
Pooled,E-FQ - R-FQ,Fade_RMSE,9000,-0.195356491534648,-0.19734911458936,-0.192879122465561,37.1975806579222,0.523931999304449,0.319731952551525
Pooled,E-FQ - IAE,Overall_RMSE,9000,-0.0904854496533567,-0.0911911334487457,-0.0896275215114858,21.8285371897548,0.403455969073935,0.313042205039797
Pooled,E-FQ - IAE,Fade_RMSE,9000,-0.116892679288834,-0.118713542823373,-0.115210002253675,26.3337046677904,0.436147271601843,0.319731952551525
