Profile,SNR_dB,Variant,Trials_Total,Trials_Valid,ReceiverFailCount,ReceiverFailRate,BitErrors_Valid,Bits_Valid,BER_Valid,BER_Wilson_Lower,BER_Wilson_Upper,FrameErrors_Valid,FER_Valid,FrameErrors_Overall,FER_Overall,FER_Wilson_Lower,FER_Wilson_Upper
Profile P2: Tx15m / 20km / Rx3467m,-14,VB-FQ,200,200,0,0.0000,1790,24000,0.074583,0.071327,0.077976,161,0.8050,161,0.8050,0.744558,0.853946
Profile P2: Tx15m / 20km / Rx3467m,-13,VB-FQ,200,200,0,0.0000,564,24000,0.023500,0.021658,0.025494,95,0.4750,95,0.4750,0.406915,0.544027
Profile P2: Tx15m / 20km / Rx3467m,-12,VB-FQ,200,200,0,0.0000,388,24000,0.016167,0.014647,0.017841,57,0.2850,57,0.2850,0.226949,0.351155
Profile P2: Tx15m / 20km / Rx3467m,-11,VB-FQ,200,200,0,0.0000,203,24000,0.008458,0.007376,0.009698,14,0.0700,14,0.0700,0.042152,0.114056
Profile P2: Tx15m / 20km / Rx3467m,-10,VB-FQ,200,200,0,0.0000,67,24000,0.002792,0.002199,0.003543,5,0.0250,5,0.0250,0.010725,0.057179
Profile P2: Tx15m / 20km / Rx3467m,-16,E-FQ,200,200,0,0.0000,4453,24000,0.185542,0.180674,0.190510,200,1.0000,200,1.0000,0.981154,1.000000
Profile P2: Tx15m / 20km / Rx3467m,-15,E-FQ,200,200,0,0.0000,3607,24000,0.150292,0.145826,0.154869,193,0.9650,193,0.9650,0.929529,0.982945
Profile P2: Tx15m / 20km / Rx3467m,-14,E-FQ,200,200,0,0.0000,2414,24000,0.100583,0.096842,0.104453,171,0.8550,171,0.8550,0.799512,0.897107
Profile P2: Tx15m / 20km / Rx3467m,-13,E-FQ,200,200,0,0.0000,857,24000,0.035708,0.033434,0.038131,98,0.4900,98,0.4900,0.421562,0.558815
Profile P2: Tx15m / 20km / Rx3467m,-12,E-FQ,200,200,0,0.0000,737,24000,0.030708,0.028600,0.032967,58,0.2900,58,0.2900,0.231539,0.356376
Profile P2: Tx15m / 20km / Rx3467m,-11,E-FQ,200,200,0,0.0000,196,24000,0.008167,0.007104,0.009387,13,0.0650,13,0.0650,0.038376,0.108020
Profile P2: Tx15m / 20km / Rx3467m,-10,E-FQ,200,200,0,0.0000,124,24000,0.005167,0.004335,0.006156,6,0.0300,6,0.0300,0.013820,0.063895
Profile P3: Tx100m / 45km / Rx110m,-16,IAE,200,200,0,0.0000,928,24000,0.038667,0.036300,0.041181,137,0.6850,137,0.6850,0.617649,0.745378
Profile P3: Tx100m / 45km / Rx110m,-15,IAE,200,200,0,0.0000,625,24000,0.026042,0.024101,0.028134,89,0.4450,89,0.4450,0.377805,0.514268
Profile P3: Tx100m / 45km / Rx110m,-14,IAE,200,200,0,0.0000,184,24000,0.007667,0.006639,0.008852,32,0.1600,32,0.1600,0.115673,0.217142
Profile P3: Tx100m / 45km / Rx110m,-13,IAE,200,200,0,0.0000,12,24000,0.000500,0.000286,0.000874,8,0.0400,8,0.0400,0.020405,0.076933
Profile P3: Tx100m / 45km / Rx110m,-12,IAE,200,200,0,0.0000,5,24000,0.000208,0.000089,0.000488,2,0.0100,2,0.0100,0.002747,0.035722
Profile P3: Tx100m / 45km / Rx110m,-11,IAE,200,200,0,0.0000,66,24000,0.002750,0.002162,0.003497,4,0.0200,4,0.0200,0.007804,0.050288
Profile P3: Tx100m / 45km / Rx110m,-10,IAE,200,200,0,0.0000,1,24000,0.000042,0.000007,0.000236,1,0.0050,1,0.0050,0.000883,0.027774
Profile P3: Tx100m / 45km / Rx110m,-16,VB-FQ,200,200,0,0.0000,614,24000,0.025583,0.023660,0.027658,122,0.6100,122,0.6100,0.540936,0.674918
Profile P3: Tx100m / 45km / Rx110m,-15,VB-FQ,200,200,0,0.0000,498,24000,0.020750,0.019022,0.022632,68,0.3400,68,0.3400,0.277914,0.408116
Profile P3: Tx100m / 45km / Rx110m,-14,VB-FQ,200,200,0,0.0000,216,24000,0.009000,0.007881,0.010276,24,0.1200,24,0.1200,0.081979,0.172344
Profile P3: Tx100m / 45km / Rx110m,-13,VB-FQ,200,200,0,0.0000,83,24000,0.003458,0.002791,0.004285,14,0.0700,14,0.0700,0.042152,0.114056
Profile P3: Tx100m / 45km / Rx110m,-12,VB-FQ,200,200,0,0.0000,0,24000,0.000000,0.000000,0.000160,0,0.0000,0,0.0000,0.000000,0.018846
Profile P3: Tx100m / 45km / Rx110m,-11,VB-FQ,200,200,0,0.0000,58,24000,0.002417,0.001870,0.003123,2,0.0100,2,0.0100,0.002747,0.035722
Profile P3: Tx100m / 45km / Rx110m,-10,VB-FQ,200,200,0,0.0000,0,24000,0.000000,0.000000,0.000160,0,0.0000,0,0.0000,0.000000,0.018846
Profile P3: Tx100m / 45km / Rx110m,-16,E-FQ,200,200,0,0.0000,1258,24000,0.052417,0.049668,0.055309,133,0.6650,133,0.6650,0.597021,0.726760
Profile P3: Tx100m / 45km / Rx110m,-15,E-FQ,200,200,0,0.0000,741,24000,0.030875,0.028760,0.033140,73,0.3650,73,0.3650,0.301404,0.433684
Profile P3: Tx100m / 45km / Rx110m,-14,E-FQ,200,200,0,0.0000,260,24000,0.010833,0.009600,0.012224,25,0.1250,25,0.1250,0.086119,0.178015
Profile P3: Tx100m / 45km / Rx110m,-13,E-FQ,200,200,0,0.0000,250,24000,0.010417,0.009208,0.011782,15,0.0750,15,0.0750,0.045975,0.120045
Profile P3: Tx100m / 45km / Rx110m,-12,E-FQ,200,200,0,0.0000,0,24000,0.000000,0.000000,0.000160,0,0.0000,0,0.0000,0.000000,0.018846
Profile P3: Tx100m / 45km / Rx110m,-11,E-FQ,200,200,0,0.0000,56,24000,0.002333,0.001797,0.003029,2,0.0100,2,0.0100,0.002747,0.035722
Profile P3: Tx100m / 45km / Rx110m,-10,E-FQ,200,200,0,0.0000,3,24000,0.000125,0.000043,0.000367,1,0.0050,1,0.0050,0.000883,0.027774
