ProfileID,ProfileDescription,Variant_or_Comparison,Metric,PilotValue,PaperValue,Difference,RelativeDifference,DirectionConsistent
P2,Profile P2: Tx15m / 20km / Rx3467m,E-FQ,m_PRE,1,1,0,0,NA
P2,Profile P2: Tx15m / 20km / Rx3467m,E-FQ,m_FADE,0.861772,0.860585,-0.00118717,-0.13776,NA
P2,Profile P2: Tx15m / 20km / Rx3467m,E-FQ,ReffRvb_PRE,1,1,0,0,NA
P2,Profile P2: Tx15m / 20km / Rx3467m,E-FQ,ReffRvb_FADE,1.33744,1.34104,0.00359544,0.26883,NA
P2,Profile P2: Tx15m / 20km / Rx3467m,E-FQ,K_PRE,0.446788,0.450333,0.00354548,0.793548,NA
P2,Profile P2: Tx15m / 20km / Rx3467m,E-FQ,K_FADE,0.375061,0.375837,0.000776552,0.207047,NA
P2,Profile P2: Tx15m / 20km / Rx3467m,E-FQ,Q11,0.05,0.05,0,0,NA
P2,Profile P2: Tx15m / 20km / Rx3467m,E-FQ,Q22,0.002,0.002,0,0,NA
P3,Profile P3: Tx100m / 45km / Rx110m,IAE,Overall_RMSE,0.370105,0.373218,0.00311275,0.841044,NA
P3,Profile P3: Tx100m / 45km / Rx110m,IAE,Fade_RMSE,0.380144,0.382697,0.00255362,0.671752,NA
P3,Profile P3: Tx100m / 45km / Rx110m,VB-FQ,Overall_RMSE,0.275597,0.274131,-0.00146582,-0.531871,NA
P3,Profile P3: Tx100m / 45km / Rx110m,VB-FQ,Fade_RMSE,0.28619,0.288933,0.00274343,0.958607,NA
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ,Overall_RMSE,0.262916,0.262593,-0.000322711,-0.122743,NA
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ,Fade_RMSE,0.246528,0.248858,0.00233057,0.945357,NA
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ/IAE,Overall,0.71038,0.703591,-0.00678945,-0.955749,TRUE
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ/IAE,Fade,0.648512,0.650274,0.00176252,0.27178,TRUE
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ/VB-FQ,Overall,0.953986,0.95791,0.00392389,0.411315,TRUE
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ/VB-FQ,Fade,0.861413,0.8613,-0.000113052,-0.013124,TRUE
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ,m_PRE,0.996588,0.995883,-0.000705258,-0.0707673,NA
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ,m_FADE,0.852871,0.850048,-0.0028239,-0.331104,NA
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ,ReffRvb_PRE,1,1,0,0,NA
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ,ReffRvb_FADE,1.36475,1.37359,0.00883792,0.647585,NA
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ,K_PRE,0.429712,0.42808,-0.00163172,-0.379725,NA
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ,K_FADE,0.364861,0.363246,-0.00161526,-0.442707,NA
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ,Q11,0.05,0.05,0,0,NA
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ,Q22,0.002,0.002,0,0,NA
