ProfileID,ProfileDescription,Variant,SNR_dB,Trials_Total,Trials_Valid,ReceiverFailCount,ReceiverFailRate,BitErrors_Valid,Bits_Valid,BER_Valid,BER_Wilson_Lower,BER_Wilson_Upper,FrameErrors_Valid,FER_Valid,FrameErrors_Overall,FER_Overall,FER_Wilson_Lower,FER_Wilson_Upper
P2,Profile P2: Tx15m / 20km / Rx3467m,VB-FQ,-16,3000,3000,0,0.0000,61088,360000,0.169689,0.168466,0.170919,2992,0.9973,2992,0.9973,0.994746,0.998648
P2,Profile P2: Tx15m / 20km / Rx3467m,VB-FQ,-15,3000,3000,0,0.0000,41135,360000,0.114264,0.113229,0.115307,2905,0.9683,2905,0.9683,0.961444,0.974025
P2,Profile P2: Tx15m / 20km / Rx3467m,VB-FQ,-14,3000,3000,0,0.0000,23568,360000,0.065467,0.064663,0.066279,2472,0.8240,2472,0.8240,0.809961,0.837211
P2,Profile P2: Tx15m / 20km / Rx3467m,VB-FQ,-13,3000,3000,0,0.0000,13122,360000,0.036450,0.035843,0.037067,1623,0.5410,1623,0.5410,0.523127,0.558768
P2,Profile P2: Tx15m / 20km / Rx3467m,VB-FQ,-12,3000,3000,0,0.0000,5836,360000,0.016211,0.015804,0.016629,766,0.2553,766,0.2553,0.240049,0.271243
P2,Profile P2: Tx15m / 20km / Rx3467m,VB-FQ,-11,3000,3000,0,0.0000,2205,360000,0.006125,0.005875,0.006385,265,0.0883,265,0.0883,0.078698,0.099022
P2,Profile P2: Tx15m / 20km / Rx3467m,VB-FQ,-10,3000,3000,0,0.0000,875,360000,0.002431,0.002275,0.002597,94,0.0313,94,0.0313,0.025674,0.038192
P2,Profile P2: Tx15m / 20km / Rx3467m,E-FQ,-16,3000,3000,0,0.0000,69826,360000,0.193961,0.192673,0.195256,2996,0.9987,2996,0.9987,0.996576,0.999481
P2,Profile P2: Tx15m / 20km / Rx3467m,E-FQ,-15,3000,3000,0,0.0000,50383,360000,0.139953,0.138823,0.141090,2905,0.9683,2905,0.9683,0.961444,0.974025
P2,Profile P2: Tx15m / 20km / Rx3467m,E-FQ,-14,3000,3000,0,0.0000,31547,360000,0.087631,0.086711,0.088559,2507,0.8357,2507,0.8357,0.821978,0.848497
P2,Profile P2: Tx15m / 20km / Rx3467m,E-FQ,-13,3000,3000,0,0.0000,17987,360000,0.049964,0.049257,0.050680,1663,0.5543,1663,0.5543,0.536489,0.572039
P2,Profile P2: Tx15m / 20km / Rx3467m,E-FQ,-12,3000,3000,0,0.0000,8905,360000,0.024736,0.024234,0.025249,806,0.2687,806,0.2687,0.253108,0.284817
P2,Profile P2: Tx15m / 20km / Rx3467m,E-FQ,-11,3000,3000,0,0.0000,3841,360000,0.010669,0.010339,0.011010,307,0.1023,307,0.1023,0.091991,0.113693
P2,Profile P2: Tx15m / 20km / Rx3467m,E-FQ,-10,3000,3000,0,0.0000,1554,360000,0.004317,0.004108,0.004536,110,0.0367,110,0.0367,0.030512,0.044006
P3,Profile P3: Tx100m / 45km / Rx110m,IAE,-16,3000,3000,0,0.0000,16373,360000,0.045481,0.044805,0.046166,2146,0.7153,2146,0.7153,0.698918,0.731198
P3,Profile P3: Tx100m / 45km / Rx110m,IAE,-15,3000,3000,0,0.0000,8367,360000,0.023242,0.022755,0.023739,1249,0.4163,1249,0.4163,0.398811,0.434069
P3,Profile P3: Tx100m / 45km / Rx110m,IAE,-14,3000,3000,0,0.0000,3913,360000,0.010869,0.010536,0.011213,560,0.1867,560,0.1867,0.173127,0.201007
P3,Profile P3: Tx100m / 45km / Rx110m,IAE,-13,3000,3000,0,0.0000,1153,360000,0.003203,0.003023,0.003393,205,0.0683,205,0.0683,0.059845,0.077926
P3,Profile P3: Tx100m / 45km / Rx110m,IAE,-12,3000,3000,0,0.0000,432,360000,0.001200,0.001092,0.001319,57,0.0190,57,0.0190,0.014694,0.024536
P3,Profile P3: Tx100m / 45km / Rx110m,IAE,-11,3000,3000,0,0.0000,154,360000,0.000428,0.000365,0.000501,21,0.0070,21,0.0070,0.004583,0.010678
P3,Profile P3: Tx100m / 45km / Rx110m,IAE,-10,3000,3000,0,0.0000,12,360000,0.000033,0.000019,0.000058,10,0.0033,10,0.0033,0.001812,0.006125
P3,Profile P3: Tx100m / 45km / Rx110m,VB-FQ,-16,3000,3000,0,0.0000,13227,360000,0.036742,0.036132,0.037361,1828,0.6093,1828,0.6093,0.591745,0.626642
P3,Profile P3: Tx100m / 45km / Rx110m,VB-FQ,-15,3000,3000,0,0.0000,6124,360000,0.017011,0.016594,0.017439,973,0.3243,973,0.3243,0.307816,0.341300
P3,Profile P3: Tx100m / 45km / Rx110m,VB-FQ,-14,3000,3000,0,0.0000,2700,360000,0.007500,0.007223,0.007787,435,0.1450,435,0.1450,0.132854,0.158054
P3,Profile P3: Tx100m / 45km / Rx110m,VB-FQ,-13,3000,3000,0,0.0000,886,360000,0.002461,0.002304,0.002628,147,0.0490,147,0.0490,0.041835,0.057318
P3,Profile P3: Tx100m / 45km / Rx110m,VB-FQ,-12,3000,3000,0,0.0000,245,360000,0.000681,0.000601,0.000771,42,0.0140,42,0.0140,0.010374,0.018869
P3,Profile P3: Tx100m / 45km / Rx110m,VB-FQ,-11,3000,3000,0,0.0000,78,360000,0.000217,0.000174,0.000270,12,0.0040,12,0.0040,0.002290,0.006979
P3,Profile P3: Tx100m / 45km / Rx110m,VB-FQ,-10,3000,3000,0,0.0000,5,360000,0.000014,0.000006,0.000033,3,0.0010,3,0.0010,0.000340,0.002936
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ,-16,3000,3000,0,0.0000,19926,360000,0.055350,0.054608,0.056102,1916,0.6387,1916,0.6387,0.621309,0.655670
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ,-15,3000,3000,0,0.0000,9735,360000,0.027042,0.026517,0.027577,1000,0.3333,1000,0.3333,0.316687,0.350406
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ,-14,3000,3000,0,0.0000,4118,360000,0.011439,0.011097,0.011792,454,0.1513,454,0.1513,0.138955,0.164603
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ,-13,3000,3000,0,0.0000,1532,360000,0.004256,0.004048,0.004474,153,0.0510,153,0.0510,0.043686,0.059463
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ,-12,3000,3000,0,0.0000,594,360000,0.001650,0.001523,0.001788,44,0.0147,44,0.0147,0.010944,0.019631
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ,-11,3000,3000,0,0.0000,122,360000,0.000339,0.000284,0.000405,11,0.0037,11,0.0037,0.002049,0.006554
P3,Profile P3: Tx100m / 45km / Rx110m,E-FQ,-10,3000,3000,0,0.0000,136,360000,0.000378,0.000319,0.000447,7,0.0023,7,0.0023,0.001131,0.004809
