Variant,Valid_Rate,Mean_BER,RMSE_Pre,RMSE_Fade,RMSE_Post,Mean_K_Fade,Mean_Reff_Fade
C,1.0000,0.000000,0.491106,0.543117,0.542419,0.645942,0.362610
D,1.0000,0.000000,0.618371,0.650289,0.656403,0.692919,0.355947
E,1.0000,0.000000,2.387589,2.323199,2.322048,0.283247,1.429699
