Profile,SNR_dB,Scenario,Frontend,Tracker,ValidRate,RMSE_Median,RMSE_Mean,BER,SyncFailRate
3,0,S0_Static,PRACTICAL-EQ,E-FQ,1.0000,0.3571,0.3989,0.000000,0.0000
3,0,S3_Warp_Fade,NO-EQ,A,1.0000,0.4501,0.4559,0.001667,0.0000
3,0,S3_Warp_Fade,NO-EQ,VB-FQ,1.0000,0.3497,0.3564,0.001944,0.0000
3,0,S3_Warp_Fade,NO-EQ,E-FQ,1.0000,0.2916,0.2973,0.002222,0.0000
3,0,S3_Warp_Fade,PRACTICAL-EQ,A,1.0000,0.4340,0.4343,0.003056,0.0000
3,0,S3_Warp_Fade,PRACTICAL-EQ,VB-FQ,1.0000,0.3216,0.3255,0.002778,0.0000
3,0,S3_Warp_Fade,PRACTICAL-EQ,E-FQ,1.0000,0.2744,0.2853,0.002500,0.0000
3,15,S0_Static,NO-EQ,A,1.0000,0.2737,0.2736,0.000000,0.0000
3,15,S0_Static,NO-EQ,VB-FQ,1.0000,0.2988,0.3137,0.000000,0.0000
3,15,S0_Static,NO-EQ,E-FQ,1.0000,0.2706,0.2785,0.000000,0.0000
3,15,S0_Static,PRACTICAL-EQ,A,1.0000,0.4563,0.4670,0.000000,0.0000
3,15,S0_Static,PRACTICAL-EQ,VB-FQ,1.0000,0.3128,0.3233,0.000000,0.0000
3,15,S0_Static,PRACTICAL-EQ,E-FQ,1.0000,0.2826,0.3054,0.000000,0.0000
3,15,S3_Warp_Fade,NO-EQ,A,1.0000,0.3753,0.3746,0.000000,0.0000
3,15,S3_Warp_Fade,NO-EQ,VB-FQ,1.0000,0.2762,0.2744,0.000000,0.0000
3,15,S3_Warp_Fade,NO-EQ,E-FQ,1.0000,0.2620,0.2620,0.000000,0.0000
3,15,S3_Warp_Fade,PRACTICAL-EQ,A,1.0000,0.6232,0.6096,0.000000,0.0000
3,15,S3_Warp_Fade,PRACTICAL-EQ,VB-FQ,1.0000,0.5813,0.5600,0.000000,0.0000
3,15,S3_Warp_Fade,PRACTICAL-EQ,E-FQ,1.0000,0.5720,0.5581,0.000000,0.0000
