ProfileID,c2,MedianRMSE_Fade,MedianRMSE_Overall,ValidRate,RelDev_from_Nominal_FadeRMSE
P1,0.01,0.45166460763563,0.474062803854326,1,-0.023808757490971
P1,0.02,0.462680454369526,0.472805132233058,1,0
P1,0.05,0.465718173933526,0.474040320603025,1,0.00656548063639211
P1,0.1,0.465865050925165,0.474840621498206,1,0.00688292865100343
P2,0.01,0.302787790346209,0.307428452440751,1,-0.00220310439759283
P2,0.02,0.303456336335267,0.311929763746025,1,0
P2,0.05,0.298475940078527,0.313185596695294,1,-0.0164122335255403
P2,0.1,0.299139923463958,0.314805098092608,1,-0.0142241645814247
P3,0.01,0.244321325352286,0.261428635775607,1,-0.00919157828133761
P3,0.02,0.246587856942601,0.260590546944411,1,0
P3,0.05,0.24755899407034,0.261452750114315,1,0.00393830069241719
P3,0.1,0.253576955629004,0.262648697989845,1,0.0283432394971088
