ProfileID,Trial,SymbolIdx,Phase,m_k,z_k,epsilon_true_k,e_meas_k
P1,1,1,PRE,0.479477707367436,-2.94063068670377,-1.94488674018256,0
P1,1,2,PRE,0.652314969427033,-2.63676878893724,-2.03110665309181,0.390081810675784
P1,1,3,PRE,0.868479543285512,-3.77023074027786,-2.11822428410557,-0.656262509651077
P1,1,4,PRE,0.87426452921336,-3.42661697557877,-2.20623903764361,-0.22463399141395
P1,1,5,PRE,0.896202681793679,-3.20142072399992,-2.29515029685268,0.0894735193739682
P1,1,6,PRE,0.893992301388348,-3.06553803326794,-2.38495742362388,0.31516333687715
P1,1,7,PRE,0.870812036029567,-4.78020407878181,-2.47565975858866,-1.30880037367194
P1,1,8,PRE,0.86910937114957,-4.0070149200158,-2.56725662118473,-0.444014352309854
P1,1,9,PRE,0.992418059654331,-4.2377005616488,-2.65974730960084,-0.582209305526751
P1,1,10,PRE,0.97856596536939,-2.93985749100776,-2.7531311008806,0.809017556394054
P1,1,11,PRE,0.972035625151597,-4.25098274784243,-2.84740725083799,-0.407831550483232
P1,1,12,PRE,0.965683606522648,-4.60409907183595,-2.94257499414652,-0.665780131168223
P1,1,13,PRE,0.979598530158766,-3.42379484311312,-3.03863354437262,0.610582647780712
P1,1,14,PRE,0.970741869372102,-4.94012963660353,-3.13558209391696,-0.808803596165363
P1,1,15,PRE,0.970741869372102,-3.60122430204928,-3.2334198140811,0.627939458553032
P1,1,16,PRE,0.97909693059221,-5.21094631655192,-3.33214585510211,-0.883056514928602
P1,1,17,PRE,0.97909693059221,-4.30227937364259,-3.43175934613926,0.125223919017885
P1,1,18,PRE,1,-4.22931277816492,-3.53225939531532,0.29869056367161
P1,1,19,PRE,1,-4.48511577814559,-3.63364508973119,0.144273258106812
P1,1,20,PRE,0.990359371273842,-4.83472697018281,-3.73591549548324,-0.103067528178351
P1,1,21,PRE,0.97201207960993,-5.00377598800963,-3.83906965769665,-0.168962383791774
P1,1,22,PRE,0.958084059792486,-5.48464118317807,-3.94310660053332,-0.545790636123543
P1,1,23,PRE,0.953706867335655,-5.78279682060299,-4.04802532722659,-0.739027546855183
P1,1,24,PRE,0.976990052665804,-4.62707934826388,-4.15382482009319,0.522489418350519
P1,1,25,PRE,0.981423987154462,-6.04335016691131,-4.26050404059453,-0.787102179795576
P1,1,26,PRE,0.981423987154462,-5.081344205874,-4.36806192930606,0.282461669953265
P1,1,27,PRE,1,-5.17673767543365,-4.47649740596656,0.295503677054126
P1,1,28,PRE,0.974581977774484,-6.93687354492084,-4.58580936950748,-1.35532022889215
P1,1,29,PRE,0.965219015935605,-6.13069399459808,-4.69599669808485,-0.438953349992019
P1,1,30,PRE,0.971436570671217,-6.53684651597948,-4.80705824911531,-0.734044320342954
P1,1,31,PRE,0.979641894452378,-5.02275912952677,-4.91899285924147,0.891977676235913
P1,1,32,PRE,0.974448209635111,-6.67751785535308,-5.03179934443843,-0.649974564393443
P1,1,33,PRE,0.951239491287544,-6.98732010769106,-5.14547650000452,-0.846099661165331
P1,1,34,PRE,0.974970564349569,-5.96285421208452,-5.2600231005866,0.292912835023286
P1,1,35,PRE,1,-5.88974673581421,-5.37543790021999,0.481435110926997
P1,1,36,PRE,0.982254077822297,-7.57303428986094,-5.49171963235251,-1.08557071098722
P1,1,37,PRE,0.981849342408254,-6.6583405124678,-5.6088670098644,-0.0537295560821827
P1,1,38,PRE,0.990720089917227,-6.88223936768873,-5.72687872511368,-0.159616696053833
P1,1,39,PRE,0.974685235178874,-7.36479242619685,-5.84575344997207,-0.523295029703572
P1,1,40,PRE,0.952400115281219,-7.80073438929516,-5.96548983585432,-0.839500606919628
P1,1,41,PRE,0.968467405120493,-6.40305450834195,-6.08608651371689,0.678775951896153
P1,1,42,PRE,0.968577300227618,-8.03210591734121,-6.20754209416319,-0.828819876656812
P1,1,43,PRE,0.958870148492689,-6.91909532347773,-6.32985516737694,0.406503790420421
P1,1,44,PRE,0.954107360136028,-8.66041673558043,-6.45302430321948,-1.21164848583974
P1,1,45,PRE,0.953729883378576,-7.76143730015404,-6.57704805130432,-0.188645302328506
P1,1,46,FADE,0.959404988863129,-8.01730550770152,-6.70192494092792,-0.319636620252389
P1,1,47,FADE,0.926862817399064,-8.4479698615768,-6.82765348117087,-0.624572433884715
P1,1,48,FADE,0.88068420674008,-8.91475275077191,-6.95423216093527,-0.964776643315425
P1,1,49,FADE,0.867997602115094,-7.5588367732264,-7.08165944892603,0.518566622220842
P1,1,50,FADE,0.852486436001908,-9.24926969475962,-7.20993379378676,-1.04359195445164
P1,1,51,FADE,0.790346223710406,-8.50320546958072,-7.33905362400122,-0.168407899058282
P1,1,52,FADE,0.737884397107435,-9.00906738557073,-7.4690173480878,-0.544306090961713
P1,1,53,FADE,0.666383040340635,-8.27311904164114,-7.59982335448495,0.322448259365018
P1,1,54,FADE,0.553304931186981,-9.64000126343022,-7.73147001170305,-0.912787305205963
P1,1,55,FADE,0.518842119528255,-9.51074380786307,-7.86395566830045,-0.651044193041406
P1,1,56,FADE,0.599781210901053,-10.9927735723537,-7.99727865293143,-1.99975097290111
P1,1,57,FADE,0.685994548603671,-8.75203069420803,-8.13143727441812,0.375150526731305
P1,1,58,FADE,0.745704620850959,-9.18126356874385,-8.26642982175052,0.0809101995278834
P1,1,59,FADE,0.801510683804037,-9.39514758721537,-8.40225456416377,0.0028509234696088
P1,1,60,FADE,0.840562496748917,-10.1078094738274,-8.53890975116478,-0.573155776141416
P1,1,61,FADE,0.874202932837248,-9.94759043009448,-8.67639361251094,-0.275452871062335
P1,1,62,FADE,0.907525681067056,-9.98351431978026,-8.81470435839393,-0.173066014865112
P1,1,63,FADE,0.923161510949974,-10.6085560951787,-8.95384017932521,-0.658971969332313
P1,1,64,POST,0.92410376923338,-10.8363425462168,-9.09379924629583,-0.746799353399746
P1,1,65,POST,0.951577043585874,-9.79519676939995,-9.23457971077912,0.435126887900381
P1,1,66,POST,0.972286747315528,-11.5131548042015,-9.37617970475202,-1.14123115292826
P1,1,67,POST,0.979820109206551,-10.610083050098,-9.51859734074301,-0.0957417628337698
P1,1,68,POST,0.984234384421902,-10.8794018596411,-9.66183071192805,-0.221827201191871
P1,1,69,POST,0.970681204706675,-10.9991363976361,-9.80587789215726,-0.197514558957609
P1,1,70,POST,0.963567269520809,-11.6012583929822,-9.9507369359042,-0.654777510556777
P1,1,71,POST,0.959399357653187,-12.0467862292836,-10.0964058784765,-0.954636404285859
P1,1,72,POST,0.980400743216974,-11.1926530176754,-10.2428827359278,0.0459736647736104
P1,1,73,POST,1,-10.8697696740775,-10.390165505191,0.516139777634724
P1,1,74,POST,0.979882832753731,-12.764543936912,-10.5382521640411,-1.23054782634963
P1,1,75,POST,0.972511549764532,-12.1987389820704,-10.687140671223,-0.515854364326207
P1,1,76,POST,0.972963259946635,-12.6377078114504,-10.8368289664833,-0.805134898445843
P1,1,77,POST,0.977003657977064,-11.1600383305224,-10.9873149705546,0.823020586553397
P1,1,78,POST,0.973690241131783,-12.6711969027547,-11.1385965853339,-0.536856370899573
P1,1,79,POST,0.955324560864508,-13.687406590199,-11.2906716937813,-1.40099094989648
P1,1,80,POST,0.977289846588376,-12.3017934311554,-11.4435381600533,0.137488675419082
P1,1,81,POST,0.998777467259161,-12.7294282009254,-11.5971938295534,-0.136490424850777
P1,1,82,POST,0.993510879666912,-13.0290287894575,-11.7516365289854,-0.281648313950898
P1,1,83,POST,0.974314315017879,-13.5443766993577,-11.9068640663746,-0.641768686461809
P1,1,84,POST,0.951158239521082,-13.8814921561074,-12.0628742311322,-0.822873978454016
P1,1,85,POST,0.970578073001836,-12.8302322332751,-12.2196647941211,0.38517650736722
P1,1,86,POST,1,-13.0038428366935,-12.3772335077073,0.369134617535012
P1,1,87,POST,0.970316197832447,-14.8775563519909,-12.5355781057728,-1.34623429969693
P1,1,88,POST,0.962888700380923,-13.9164270048475,-12.6946963038597,-0.225986754466591
P1,1,89,POST,0.97959669278364,-14.4226490022059,-12.8545857991194,-0.572319256565306
P1,1,90,POST,0.964840099313267,-14.9136728423505,-13.0152442704246,-0.902684625404707
P1,1,91,POST,0.977396643851702,-13.9207479201089,-13.1766693784119,0.251665404824156
