ProfileID,Kcal,MedianRMSE_Fade,MedianRMSE_Overall,ValidRate,RelDev_from_Nominal_FadeRMSE
P1,4,0.458334551028408,0.483659280369637,1,-0.00939288292832632
P1,8,0.462680454369526,0.472805132233058,1,0
P1,16,0.470564936913967,0.4743894125562,1,0.0170408809578622
P2,4,0.316016116214891,0.310996899810161,1,0.041389084279158
P2,8,0.303456336335267,0.311929763746025,1,0
P2,16,0.299450061970353,0.308253304234759,1,-0.0132021443786474
P3,4,0.254901358114281,0.2668691592419,1,0.0337141547631625
P3,8,0.246587856942601,0.260590546944411,1,0
P3,16,0.240132144691088,0.257862606856222,1,-0.0261801709603869
