Channel,SNR_dB,Variant,Trials_Valid,SyncFailRate,FER_Overall,FER_Valid,BER_Valid,Wilson_Lower,Wilson_Upper
Profile P1: Tx15m / 20km / Rx34m,-1,E-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P1: Tx15m / 20km / Rx34m,0,E-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-14,IAE,20,0.0000,0.9500,0.9500,0.069583,0.060076,0.080466
Profile P2: Tx15m / 20km / Rx3467m,-13,IAE,20,0.0000,0.5500,0.5500,0.055833,0.047337,0.065749
Profile P2: Tx15m / 20km / Rx3467m,-12,IAE,20,0.0000,0.4500,0.4500,0.028750,0.022781,0.036226
Profile P2: Tx15m / 20km / Rx3467m,-11,IAE,20,0.0000,0.0500,0.0500,0.000417,0.000074,0.002357
Profile P2: Tx15m / 20km / Rx3467m,-10,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-9,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-8,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-7,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-6,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-5,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-4,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-3,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-2,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-1,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,0,IAE,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-14,VB-FQ,20,0.0000,0.8000,0.8000,0.072500,0.062794,0.083572
Profile P2: Tx15m / 20km / Rx3467m,-13,VB-FQ,20,0.0000,0.5500,0.5500,0.055000,0.046570,0.064853
Profile P2: Tx15m / 20km / Rx3467m,-12,VB-FQ,20,0.0000,0.3000,0.3000,0.027083,0.021306,0.034372
Profile P2: Tx15m / 20km / Rx3467m,-11,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-10,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-9,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-8,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-7,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-6,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-5,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-4,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-3,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-2,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-1,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,0,VB-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-14,E-FQ,20,0.0000,0.7000,0.7000,0.062083,0.053111,0.072455
Profile P2: Tx15m / 20km / Rx3467m,-13,E-FQ,20,0.0000,0.6500,0.6500,0.100833,0.089417,0.113525
Profile P2: Tx15m / 20km / Rx3467m,-12,E-FQ,20,0.0000,0.2000,0.2000,0.023750,0.018377,0.030646
Profile P2: Tx15m / 20km / Rx3467m,-11,E-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-10,E-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-9,E-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-8,E-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-7,E-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-6,E-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
Profile P2: Tx15m / 20km / Rx3467m,-5,E-FQ,20,0.0000,0.0000,0.0000,0.000000,0.000000,0.001598
